codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
45284;SÃO JOSÉ;SÃO JOSÉ;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PRSER;1
45285;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;CATALÃO;ARREMETIDA NO SOLO;SUBSTANCIAL;0;PPFHP;2
45286;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;1;PRZCM;4
45288;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUNC;1
45289;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PTEIW;7
45290;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PPRRY;2
45291;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;PRFPE;4
45292;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTKKP;6
45293;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PRGTF;194
45294;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PPPTG;50
45296;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRGOP;193
45307;BLUMENAU;BLUMENAU;POUSO;SUBSTANCIAL;0;PPGMI;2
45310;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;1;PTINZ;4
45311;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;DESTRUÍDA;0;PRZXZ;2
45312;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;SUBSTANCIAL;0;PRJJV;10
45313;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRGIX;188
45327;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRTTP;7
